"Statistic Label","Census Year","Administrative Counties 2019","Marital Status","Sex","UNIT","VALUE"
"Population","2022","Cork City Council","Single","Females","Number","63069"
"Population","2022","Cork City Council","Single","Both Sexes","Number","127689"
"Population","2022","Cork City Council","Married","Males","Number","38175"
"Population","2022","Cork City Council","Married","Females","Number","38155"
"Population","2022","Cork City Council","Married","Both Sexes","Number","76330"
"Population","2022","Cork City Council","Separated","Males","Number","1940"
"Population","2022","Cork City Council","Separated","Females","Number","2605"
"Population","2022","Cork City Council","Separated","Both Sexes","Number","4545"
"Population","2022","Cork City Council","Divorced","Males","Number","2379"
"Population","2022","Cork City Council","Divorced","Females","Number","3571"
"Population","2022","Cork City Council","Divorced","Both Sexes","Number","5950"
"Population","2022","Cork City Council","Widowed","Males","Number","2622"
"Population","2022","Cork City Council","Widowed","Females","Number","6868"
"Population","2022","Cork City Council","Widowed","Both Sexes","Number","9490"
"Population","2022","Cork City Council","Total","Males","Number","109736"
"Population","2022","Cork City Council","Total","Females","Number","114268"
"Population","2022","Cork City Council","Total","Both Sexes","Number","224004"
"Population","2022","Cork County Council","Single","Males","Number","96429"
"Population","2022","Cork County Council","Single","Females","Number","88776"
"Population","2022","Cork County Council","Single","Both Sexes","Number","185205"
"Population","2022","Cork County Council","Married","Males","Number","71622"
"Population","2022","Cork County Council","Married","Females","Number","71842"
"Population","2022","Cork County Council","Married","Both Sexes","Number","143464"
"Population","2022","Cork County Council","Separated","Males","Number","3218"
"Population","2022","Cork County Council","Separated","Females","Number","3936"
"Population","2022","Cork County Council","Separated","Both Sexes","Number","7154"
"Population","2022","Cork County Council","Divorced","Males","Number","4129"
"Population","2022","Cork County Council","Divorced","Females","Number","5512"
"Population","2022","Cork County Council","Divorced","Both Sexes","Number","9641"
"Population","2022","Cork County Council","Widowed","Males","Number","3711"
"Population","2022","Cork County Council","Widowed","Females","Number","10977"
"Population","2022","Cork County Council","Widowed","Both Sexes","Number","14688"
"Population","2022","Cork County Council","Total","Males","Number","179109"
"Population","2022","Cork County Council","Total","Females","Number","181043"
"Population","2022","Cork County Council","Total","Both Sexes","Number","360152"
"Population","2022","Kerry County Council","Single","Males","Number","41449"
"Population","2022","Kerry County Council","Single","Females","Number","38179"
"Population","2022","Kerry County Council","Single","Both Sexes","Number","79628"
"Population","2022","Kerry County Council","Married","Males","Number","30446"
"Population","2022","Kerry County Council","Married","Females","Number","30641"
"Population","2022","Kerry County Council","Married","Both Sexes","Number","61087"
"Population","2022","Kerry County Council","Separated","Males","Number","1640"
"Population","2022","Kerry County Council","Separated","Females","Number","2048"
"Population","2022","Kerry County Council","Separated","Both Sexes","Number","3688"
"Population","2022","Kerry County Council","Divorced","Males","Number","1862"
"Population","2022","Kerry County Council","Divorced","Females","Number","2591"
"Population","2022","Kerry County Council","Divorced","Both Sexes","Number","4453"
"Population","2022","Kerry County Council","Widowed","Males","Number","1990"
"Population","2022","Kerry County Council","Widowed","Females","Number","5612"
"Population","2022","Kerry County Council","Widowed","Both Sexes","Number","7602"
"Population","2022","Kerry County Council","Total","Males","Number","77387"
"Population","2022","Kerry County Council","Total","Females","Number","79071"
"Population","2022","Kerry County Council","Total","Both Sexes","Number","156458"
"Population","2022","Limerick City & County Council","Single","Males","Number","59265"
"Population","2022","Limerick City & County Council","Single","Females","Number","54390"
"Population","2022","Limerick City & County Council","Single","Both Sexes","Number","113655"
"Population","2022","Limerick City & County Council","Married","Males","Number","38498"
"Population","2022","Limerick City & County Council","Married","Females","Number","38409"
"Population","2022","Limerick City & County Council","Married","Both Sexes","Number","76907"
"Population","2022","Limerick City & County Council","Separated","Males","Number","2140"
"Population","2022","Limerick City & County Council","Separated","Females","Number","2744"
"Population","2022","Limerick City & County Council","Separated","Both Sexes","Number","4884"
"Population","2022","Limerick City & County Council","Divorced","Males","Number","2060"
"Population","2022","Limerick City & County Council","Divorced","Females","Number","2768"
"Population","2022","Limerick City & County Council","Divorced","Both Sexes","Number","4828"
"Population","2022","Limerick City & County Council","Widowed","Males","Number","2489"
"Population","2022","Limerick City & County Council","Widowed","Females","Number","6773"
"Population","2022","Limerick City & County Council","Widowed","Both Sexes","Number","9262"
"Population","2022","Limerick City & County Council","Total","Males","Number","104452"
"Population","2022","Limerick City & County Council","Total","Females","Number","105084"
"Population","2022","Limerick City & County Council","Total","Both Sexes","Number","209536"
"Population","2022","Tipperary County Council","Single","Males","Number","45752"
"Population","2022","Tipperary County Council","Single","Females","Number","41332"
"Population","2022","Tipperary County Council","Single","Both Sexes","Number","87084"
"Population","2022","Tipperary County Council","Married","Males","Number","31943"
"Population","2022","Tipperary County Council","Married","Females","Number","31960"
"Population","2022","Tipperary County Council","Married","Both Sexes","Number","63903"
"Population","2022","Tipperary County Council","Separated","Males","Number","1920"
"Population","2022","Tipperary County Council","Separated","Females","Number","2330"
"Population","2022","Tipperary County Council","Separated","Both Sexes","Number","4250"
"Population","2022","Tipperary County Council","Divorced","Males","Number","1950"
"Population","2022","Tipperary County Council","Divorced","Females","Number","2564"
"Population","2022","Tipperary County Council","Divorced","Both Sexes","Number","4514"
"Population","2022","Tipperary County Council","Widowed","Males","Number","2074"
"Population","2022","Tipperary County Council","Widowed","Females","Number","6070"
"Population","2022","Tipperary County Council","Widowed","Both Sexes","Number","8144"
"Population","2022","Tipperary County Council","Total","Males","Number","83639"
"Population","2022","Tipperary County Council","Total","Females","Number","84256"
"Population","2022","Tipperary County Council","Total","Both Sexes","Number","167895"
"Population","2022","Waterford City & County Council","Single","Males","Number","35130"
"Population","2022","Waterford City & County Council","Single","Females","Number","32591"
"Population","2022","Waterford City & County Council","Single","Both Sexes","Number","67721"
"Population","2022","Waterford City & County Council","Married","Males","Number","23456"
"Population","2022","Waterford City & County Council","Married","Females","Number","23505"
"Population","2022","Waterford City & County Council","Married","Both Sexes","Number","46961"
"Population","2022","Waterford City & County Council","Separated","Males","Number","1444"
"Population","2022","Waterford City & County Council","Separated","Females","Number","1820"
"Population","2022","Waterford City & County Council","Separated","Both Sexes","Number","3264"
"Population","2022","Waterford City & County Council","Divorced","Males","Number","1492"
"Population","2022","Waterford City & County Council","Divorced","Females","Number","2168"
"Population","2022","Waterford City & County Council","Divorced","Both Sexes","Number","3660"
"Population","2022","Waterford City & County Council","Widowed","Males","Number","1573"
"Population","2022","Waterford City & County Council","Widowed","Females","Number","4184"
"Population","2022","Waterford City & County Council","Widowed","Both Sexes","Number","5757"
"Population","2022","Waterford City & County Council","Total","Males","Number","63095"
"Population","2022","Waterford City & County Council","Total","Females","Number","64268"
"Population","2022","Waterford City & County Council","Total","Both Sexes","Number","127363"
"Population","2022","Galway City Council","Single","Males","Number","25426"
"Population","2022","Galway City Council","Single","Females","Number","26754"
"Population","2022","Galway City Council","Single","Both Sexes","Number","52180"
"Population","2022","Galway City Council","Married","Males","Number","12705"
"Population","2022","Galway City Council","Married","Females","Number","12746"
"Population","2022","Galway City Council","Married","Both Sexes","Number","25451"
"Population","2022","Galway City Council","Separated","Males","Number","704"
"Population","2022","Galway City Council","Separated","Females","Number","1037"
"Population","2022","Galway City Council","Separated","Both Sexes","Number","1741"
"Population","2022","Galway City Council","Divorced","Males","Number","877"
"Population","2022","Galway City Council","Divorced","Females","Number","1386"
"Population","2022","Galway City Council","Divorced","Both Sexes","Number","2263"
"Population","2022","Galway City Council","Widowed","Males","Number","702"
"Population","2022","Galway City Council","Widowed","Females","Number","2077"
"Population","2022","Galway City Council","Widowed","Both Sexes","Number","2779"
"Population","2022","Galway City Council","Total","Males","Number","40414"
"Population","2022","Galway City Council","Total","Females","Number","44000"
"Population","2022","Galway City Council","Total","Both Sexes","Number","84414"
"Population","2022","Galway County Council","Single","Males","Number","51800"
"Population","2022","Galway County Council","Single","Females","Number","46599"
"Population","2022","Galway County Council","Single","Both Sexes","Number","98399"
"Population","2022","Galway County Council","Married","Males","Number","39043"
"Population","2022","Galway County Council","Married","Females","Number","39256"
"Population","2022","Galway County Council","Married","Both Sexes","Number","78299"
"Population","2022","Galway County Council","Separated","Males","Number","1884"
"Population","2022","Galway County Council","Separated","Females","Number","2179"
"Population","2022","Galway County Council","Separated","Both Sexes","Number","4063"
"Population","2022","Galway County Council","Divorced","Males","Number","1834"
"Population","2022","Galway County Council","Divorced","Females","Number","2530"
"Population","2022","Galway County Council","Divorced","Both Sexes","Number","4364"
"Population","2022","Galway County Council","Widowed","Males","Number","1959"
"Population","2022","Galway County Council","Widowed","Females","Number","6239"
"Population","2022","Galway County Council","Widowed","Both Sexes","Number","8198"
"Population","2022","Galway County Council","Total","Males","Number","96520"
"Population","2022","Galway County Council","Total","Females","Number","96803"
"Population","2022","Galway County Council","Total","Both Sexes","Number","193323"
"Population","2022","Leitrim County Council","Single","Males","Number","9461"
"Population","2022","Leitrim County Council","Single","Females","Number","8398"
"Population","2022","Leitrim County Council","Single","Both Sexes","Number","17859"
"Population","2022","Leitrim County Council","Married","Males","Number","6831"
"Population","2022","Leitrim County Council","Married","Females","Number","6898"
"Population","2022","Leitrim County Council","Married","Both Sexes","Number","13729"
"Population","2022","Leitrim County Council","Separated","Males","Number","407"
"Population","2022","Leitrim County Council","Separated","Females","Number","436"
"Population","2022","Leitrim County Council","Separated","Both Sexes","Number","843"
"Population","2022","Leitrim County Council","Divorced","Males","Number","428"
"Population","2022","Leitrim County Council","Divorced","Females","Number","538"
"Population","2022","Leitrim County Council","Divorced","Both Sexes","Number","966"
"Population","2022","Leitrim County Council","Widowed","Males","Number","426"
"Population","2022","Leitrim County Council","Widowed","Females","Number","1376"
