"STATISTIC Label","Graduation Year","Field of Study","NFQ Level","Nationality","UNIT","VALUE"
"Number of Graduates","2014","Health and Welfare","NFQ Level 10","Mid-East","Number","0"
"Number of Graduates","2014","Health and Welfare","NFQ Level 10","Australia and South Pacific","Number","0"
"Number of Graduates","2014","Health and Welfare","NFQ Level 10","Central and South America","Number","0"
"Number of Graduates","2014","Health and Welfare","NFQ Level 10","Europe excluding UK and Ireland","Number","10"
"Number of Graduates","2014","Health and Welfare","NFQ Level 10","North America","Number","0"
"Number of Graduates","2014","Services","All NFQ Levels","All nationalities","Number","1780"
"Number of Graduates","2014","Services","All NFQ Levels","UK","Number","30"
"Number of Graduates","2014","Services","All NFQ Levels","Ireland","Number","1590"
"Number of Graduates","2014","Services","All NFQ Levels","Unknown","Number","0"
"Number of Graduates","2014","Services","All NFQ Levels","Africa","Number","10"
"Number of Graduates","2014","Services","All NFQ Levels","Central Asia","Number","0"
"Number of Graduates","2014","Services","All NFQ Levels","South Asia","Number","0"
"Number of Graduates","2014","Services","All NFQ Levels","South-East Asia","Number","10"
"Number of Graduates","2014","Services","All NFQ Levels","East Asia","Number","30"
"Number of Graduates","2014","Services","All NFQ Levels","Mid-East","Number","10"
"Number of Graduates","2014","Services","All NFQ Levels","Australia and South Pacific","Number","0"
"Number of Graduates","2014","Services","All NFQ Levels","Central and South America","Number","0"
"Number of Graduates","2014","Services","All NFQ Levels","Europe excluding UK and Ireland","Number","90"
"Number of Graduates","2014","Services","All NFQ Levels","North America","Number","10"
"Number of Graduates","2014","Services","NFQ Level 6","All nationalities","Number","230"
"Number of Graduates","2014","Services","NFQ Level 6","UK","Number","0"
"Number of Graduates","2014","Services","NFQ Level 6","Ireland","Number","220"
"Number of Graduates","2014","Services","NFQ Level 6","Unknown","Number","0"
"Number of Graduates","2014","Services","NFQ Level 6","Africa","Number","0"
"Number of Graduates","2014","Services","NFQ Level 6","Central Asia","Number","0"
"Number of Graduates","2014","Services","NFQ Level 6","South Asia","Number","0"
"Number of Graduates","2014","Services","NFQ Level 6","South-East Asia","Number","0"
"Number of Graduates","2014","Services","NFQ Level 6","East Asia","Number","0"
"Number of Graduates","2014","Services","NFQ Level 6","Mid-East","Number","0"
"Number of Graduates","2014","Services","NFQ Level 6","Australia and South Pacific","Number","0"
"Number of Graduates","2014","Services","NFQ Level 6","Central and South America","Number","0"
"Number of Graduates","2014","Services","NFQ Level 6","Europe excluding UK and Ireland","Number","10"
"Number of Graduates","2014","Services","NFQ Level 6","North America","Number","0"
"Number of Graduates","2014","Services","NFQ Level 7","All nationalities","Number","740"
"Number of Graduates","2014","Services","NFQ Level 7","UK","Number","20"
"Number of Graduates","2014","Services","NFQ Level 7","Ireland","Number","680"
"Number of Graduates","2014","Services","NFQ Level 7","Unknown","Number","0"
"Number of Graduates","2014","Services","NFQ Level 7","Africa","Number","10"
"Number of Graduates","2014","Services","NFQ Level 7","Central Asia","Number","0"
"Number of Graduates","2014","Services","NFQ Level 7","South Asia","Number","0"
"Number of Graduates","2014","Services","NFQ Level 7","South-East Asia","Number","10"
"Number of Graduates","2014","Services","NFQ Level 7","East Asia","Number","10"
"Number of Graduates","2014","Services","NFQ Level 7","Mid-East","Number","0"
"Number of Graduates","2014","Services","NFQ Level 7","Australia and South Pacific","Number","0"
"Number of Graduates","2014","Services","NFQ Level 7","Central and South America","Number","0"
"Number of Graduates","2014","Services","NFQ Level 7","Europe excluding UK and Ireland","Number","20"
"Number of Graduates","2014","Services","NFQ Level 7","North America","Number","10"
"Number of Graduates","2014","Services","NFQ Level 8","All nationalities","Number","770"
"Number of Graduates","2014","Services","NFQ Level 8","UK","Number","10"
"Number of Graduates","2014","Services","NFQ Level 8","Ireland","Number","660"
"Number of Graduates","2014","Services","NFQ Level 8","Unknown","Number","0"
"Number of Graduates","2014","Services","NFQ Level 8","Africa","Number","0"
"Number of Graduates","2014","Services","NFQ Level 8","Central Asia","Number","0"
"Number of Graduates","2014","Services","NFQ Level 8","South Asia","Number","0"
"Number of Graduates","2014","Services","NFQ Level 8","South-East Asia","Number","0"
"Number of Graduates","2014","Services","NFQ Level 8","East Asia","Number","20"
"Number of Graduates","2014","Services","NFQ Level 8","Mid-East","Number","0"
"Number of Graduates","2014","Services","NFQ Level 8","Australia and South Pacific","Number","0"
"Number of Graduates","2014","Services","NFQ Level 8","Central and South America","Number","0"
"Number of Graduates","2014","Services","NFQ Level 8","Europe excluding UK and Ireland","Number","60"
"Number of Graduates","2014","Services","NFQ Level 8","North America","Number","0"
"Number of Graduates","2014","Services","NFQ Level 9","All nationalities","Number","50"
"Number of Graduates","2014","Services","NFQ Level 9","UK","Number","0"
"Number of Graduates","2014","Services","NFQ Level 9","Ireland","Number","40"
"Number of Graduates","2014","Services","NFQ Level 9","Unknown","Number","0"
"Number of Graduates","2014","Services","NFQ Level 9","Africa","Number","0"
"Number of Graduates","2014","Services","NFQ Level 9","Central Asia","Number","0"
"Number of Graduates","2014","Services","NFQ Level 9","South Asia","Number","0"
"Number of Graduates","2014","Services","NFQ Level 9","South-East Asia","Number","0"
"Number of Graduates","2014","Services","NFQ Level 9","East Asia","Number","0"
"Number of Graduates","2014","Services","NFQ Level 9","Mid-East","Number","0"
"Number of Graduates","2014","Services","NFQ Level 9","Australia and South Pacific","Number","0"
"Number of Graduates","2014","Services","NFQ Level 9","Central and South America","Number","0"
"Number of Graduates","2014","Services","NFQ Level 9","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2014","Services","NFQ Level 9","North America","Number","0"
"Number of Graduates","2014","Services","NFQ Level 10","All nationalities","Number","0"
"Number of Graduates","2014","Services","NFQ Level 10","UK","Number","0"
"Number of Graduates","2014","Services","NFQ Level 10","Ireland","Number","0"
"Number of Graduates","2014","Services","NFQ Level 10","Unknown","Number","0"
"Number of Graduates","2014","Services","NFQ Level 10","Africa","Number","0"
"Number of Graduates","2014","Services","NFQ Level 10","Central Asia","Number","0"
"Number of Graduates","2014","Services","NFQ Level 10","South Asia","Number","0"
"Number of Graduates","2014","Services","NFQ Level 10","South-East Asia","Number","0"
"Number of Graduates","2014","Services","NFQ Level 10","East Asia","Number","0"
"Number of Graduates","2014","Services","NFQ Level 10","Mid-East","Number","0"
"Number of Graduates","2014","Services","NFQ Level 10","Australia and South Pacific","Number","0"
"Number of Graduates","2014","Services","NFQ Level 10","Central and South America","Number","0"
"Number of Graduates","2014","Services","NFQ Level 10","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2014","Services","NFQ Level 10","North America","Number","0"
"Number of Graduates","2015","All fields of education","All NFQ Levels","All nationalities","Number","35200"
"Number of Graduates","2015","All fields of education","All NFQ Levels","UK","Number","640"
"Number of Graduates","2015","All fields of education","All NFQ Levels","Ireland","Number","30360"
"Number of Graduates","2015","All fields of education","All NFQ Levels","Unknown","Number","80"
"Number of Graduates","2015","All fields of education","All NFQ Levels","Africa","Number","230"
"Number of Graduates","2015","All fields of education","All NFQ Levels","Central Asia","Number","20"
"Number of Graduates","2015","All fields of education","All NFQ Levels","South Asia","Number","360"
"Number of Graduates","2015","All fields of education","All NFQ Levels","South-East Asia","Number","430"
"Number of Graduates","2015","All fields of education","All NFQ Levels","East Asia","Number","790"
"Number of Graduates","2015","All fields of education","All NFQ Levels","Mid-East","Number","200"
"Number of Graduates","2015","All fields of education","All NFQ Levels","Australia and South Pacific","Number","20"
"Number of Graduates","2015","All fields of education","All NFQ Levels","Central and South America","Number","40"
"Number of Graduates","2015","All fields of education","All NFQ Levels","Europe excluding UK and Ireland","Number","1600"
"Number of Graduates","2015","All fields of education","All NFQ Levels","North America","Number","430"
"Number of Graduates","2015","All fields of education","NFQ Level 6","All nationalities","Number","1170"
"Number of Graduates","2015","All fields of education","NFQ Level 6","UK","Number","10"
"Number of Graduates","2015","All fields of education","NFQ Level 6","Ireland","Number","1070"
"Number of Graduates","2015","All fields of education","NFQ Level 6","Unknown","Number","0"
"Number of Graduates","2015","All fields of education","NFQ Level 6","Africa","Number","10"
"Number of Graduates","2015","All fields of education","NFQ Level 6","Central Asia","Number","0"
"Number of Graduates","2015","All fields of education","NFQ Level 6","South Asia","Number","0"
"Number of Graduates","2015","All fields of education","NFQ Level 6","South-East Asia","Number","10"
"Number of Graduates","2015","All fields of education","NFQ Level 6","East Asia","Number","0"
"Number of Graduates","2015","All fields of education","NFQ Level 6","Mid-East","Number","10"
"Number of Graduates","2015","All fields of education","NFQ Level 6","Australia and South Pacific","Number","0"
"Number of Graduates","2015","All fields of education","NFQ Level 6","Central and South America","Number","0"
"Number of Graduates","2015","All fields of education","NFQ Level 6","Europe excluding UK and Ireland","Number","60"
"Number of Graduates","2015","All fields of education","NFQ Level 6","North America","Number","0"
"Number of Graduates","2015","All fields of education","NFQ Level 7","All nationalities","Number","3930"
"Number of Graduates","2015","All fields of education","NFQ Level 7","UK","Number","70"
"Number of Graduates","2015","All fields of education","NFQ Level 7","Ireland","Number","3360"
"Number of Graduates","2015","All fields of education","NFQ Level 7","Unknown","Number","0"
"Number of Graduates","2015","All fields of education","NFQ Level 7","Africa","Number","30"
"Number of Graduates","2015","All fields of education","NFQ Level 7","Central Asia","Number","0"
"Number of Graduates","2015","All fields of education","NFQ Level 7","South Asia","Number","10"
"Number of Graduates","2015","All fields of education","NFQ Level 7","South-East Asia","Number","50"
"Number of Graduates","2015","All fields of education","NFQ Level 7","East Asia","Number","40"
"Number of Graduates","2015","All fields of education","NFQ Level 7","Mid-East","Number","20"
"Number of Graduates","2015","All fields of education","NFQ Level 7","Australia and South Pacific","Number","0"
"Number of Graduates","2015","All fields of education","NFQ Level 7","Central and South America","Number","0"
"Number of Graduates","2015","All fields of education","NFQ Level 7","Europe excluding UK and Ireland","Number","340"
"Number of Graduates","2015","All fields of education","NFQ Level 7","North America","Number","10"
"Number of Graduates","2015","All fields of education","NFQ Level 8","All nationalities","Number","23110"
"Number of Graduates","2015","All fields of education","NFQ Level 8","UK","Number","420"
"Number of Graduates","2015","All fields of education","NFQ Level 8","Ireland","Number","20930"
"Number of Graduates","2015","All fields of education","NFQ Level 8","Unknown","Number","0"
"Number of Graduates","2015","All fields of education","NFQ Level 8","Africa","Number","140"
"Number of Graduates","2015","All fields of education","NFQ Level 8","Central Asia","Number","10"
"Number of Graduates","2015","All fields of education","NFQ Level 8","South Asia","Number","40"
"Number of Graduates","2015","All fields of education","NFQ Level 8","South-East Asia","Number","320"
"Number of Graduates","2015","All fields of education","NFQ Level 8","East Asia","Number","340"
"Number of Graduates","2015","All fields of education","NFQ Level 8","Mid-East","Number","100"
"Number of Graduates","2015","All fields of education","NFQ Level 8","Australia and South Pacific","Number","10"
"Number of Graduates","2015","All fields of education","NFQ Level 8","Central and South America","Number","10"
"Number of Graduates","2015","All fields of education","NFQ Level 8","Europe excluding UK and Ireland","Number","650"
"Number of Graduates","2015","All fields of education","NFQ Level 8","North America","Number","130"
"Number of Graduates","2015","All fields of education","NFQ Level 9","All nationalities","Number","6510"
"Number of Graduates","2015","All fields of education","NFQ Level 9","UK","Number","130"
"Number of Graduates","2015","All fields of education","NFQ Level 9","Ireland","Number","4620"
"Number of Graduates","2015","All fields of education","NFQ Level 9","Unknown","Number","70"
"Number of Graduates","2015","All fields of education","NFQ Level 9","Africa","Number","40"
"Number of Graduates","2015","All fields of education","NFQ Level 9","Central Asia","Number","0"
"Number of Graduates","2015","All fields of education","NFQ Level 9","South Asia","Number","290"
"Number of Graduates","2015","All fields of education","NFQ Level 9","South-East Asia","Number","50"
"Number of Graduates","2015","All fields of education","NFQ Level 9","East Asia","Number","390"
"Number of Graduates","2015","All fields of education","NFQ Level 9","Mid-East","Number","80"
"Number of Graduates","2015","All fields of education","NFQ Level 9","Australia and South Pacific","Number","10"
"Number of Graduates","2015","All fields of education","NFQ Level 9","Central and South America","Number","20"
"Number of Graduates","2015","All fields of education","NFQ Level 9","Europe excluding UK and Ireland","Number","510"
"Number of Graduates","2015","All fields of education","NFQ Level 9","North America","Number","290"
"Number of Graduates","2015","All fields of education","NFQ Level 10","All nationalities","Number","490"
"Number of Graduates","2015","All fields of education","NFQ Level 10","UK","Number","10"
"Number of Graduates","2015","All fields of education","NFQ Level 10","Ireland","Number","380"
"Number of Graduates","2015","All fields of education","NFQ Level 10","Unknown","Number","0"
"Number of Graduates","2015","All fields of education","NFQ Level 10","Africa","Number","0"
"Number of Graduates","2015","All fields of education","NFQ Level 10","Central Asia","Number","0"
"Number of Graduates","2015","All fields of education","NFQ Level 10","South Asia","Number","10"
"Number of Graduates","2015","All fields of education","NFQ Level 10","South-East Asia","Number","0"
"Number of Graduates","2015","All fields of education","NFQ Level 10","East Asia","Number","20"
"Number of Graduates","2015","All fields of education","NFQ Level 10","Mid-East","Number","0"
"Number of Graduates","2015","All fields of education","NFQ Level 10","Australia and South Pacific","Number","0"
"Number of Graduates","2015","All fields of education","NFQ Level 10","Central and South America","Number","0"
"Number of Graduates","2015","All fields of education","NFQ Level 10","Europe excluding UK and Ireland","Number","40"
"Number of Graduates","2015","All fields of education","NFQ Level 10","North America","Number","10"
"Number of Graduates","2015","Education","All NFQ Levels","All nationalities","Number","1120"
"Number of Graduates","2015","Education","All NFQ Levels","UK","Number","10"
"Number of Graduates","2015","Education","All NFQ Levels","Ireland","Number","1090"
"Number of Graduates","2015","Education","All NFQ Levels","Unknown","Number","0"
"Number of Graduates","2015","Education","All NFQ Levels","Africa","Number","0"
"Number of Graduates","2015","Education","All NFQ Levels","Central Asia","Number","0"
"Number of Graduates","2015","Education","All NFQ Levels","South Asia","Number","0"
"Number of Graduates","2015","Education","All NFQ Levels","South-East Asia","Number","0"
"Number of Graduates","2015","Education","All NFQ Levels","East Asia","Number","0"
"Number of Graduates","2015","Education","All NFQ Levels","Mid-East","Number","0"
"Number of Graduates","2015","Education","All NFQ Levels","Australia and South Pacific","Number","0"
"Number of Graduates","2015","Education","All NFQ Levels","Central and South America","Number","0"
"Number of Graduates","2015","Education","All NFQ Levels","Europe excluding UK and Ireland","Number","10"
"Number of Graduates","2015","Education","All NFQ Levels","North America","Number","10"
"Number of Graduates","2015","Education","NFQ Level 6","All nationalities","Number","0"
"Number of Graduates","2015","Education","NFQ Level 6","UK","Number","0"
"Number of Graduates","2015","Education","NFQ Level 6","Ireland","Number","0"
"Number of Graduates","2015","Education","NFQ Level 6","Unknown","Number","0"
"Number of Graduates","2015","Education","NFQ Level 6","Africa","Number","0"
"Number of Graduates","2015","Education","NFQ Level 6","Central Asia","Number","0"
"Number of Graduates","2015","Education","NFQ Level 6","South Asia","Number","0"
"Number of Graduates","2015","Education","NFQ Level 6","South-East Asia","Number","0"
"Number of Graduates","2015","Education","NFQ Level 6","East Asia","Number","0"
"Number of Graduates","2015","Education","NFQ Level 6","Mid-East","Number","0"
"Number of Graduates","2015","Education","NFQ Level 6","Australia and South Pacific","Number","0"
"Number of Graduates","2015","Education","NFQ Level 6","Central and South America","Number","0"
"Number of Graduates","2015","Education","NFQ Level 6","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2015","Education","NFQ Level 6","North America","Number","0"
"Number of Graduates","2015","Education","NFQ Level 7","All nationalities","Number","0"
"Number of Graduates","2015","Education","NFQ Level 7","UK","Number","0"
"Number of Graduates","2015","Education","NFQ Level 7","Ireland","Number","0"
"Number of Graduates","2015","Education","NFQ Level 7","Unknown","Number","0"
"Number of Graduates","2015","Education","NFQ Level 7","Africa","Number","0"
"Number of Graduates","2015","Education","NFQ Level 7","Central Asia","Number","0"
"Number of Graduates","2015","Education","NFQ Level 7","South Asia","Number","0"
"Number of Graduates","2015","Education","NFQ Level 7","South-East Asia","Number","0"
"Number of Graduates","2015","Education","NFQ Level 7","East Asia","Number","0"
"Number of Graduates","2015","Education","NFQ Level 7","Mid-East","Number","0"
"Number of Graduates","2015","Education","NFQ Level 7","Australia and South Pacific","Number","0"
"Number of Graduates","2015","Education","NFQ Level 7","Central and South America","Number","0"
"Number of Graduates","2015","Education","NFQ Level 7","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2015","Education","NFQ Level 7","North America","Number","0"
"Number of Graduates","2015","Education","NFQ Level 8","All nationalities","Number","800"
"Number of Graduates","2015","Education","NFQ Level 8","UK","Number","10"
"Number of Graduates","2015","Education","NFQ Level 8","Ireland","Number","780"
"Number of Graduates","2015","Education","NFQ Level 8","Unknown","Number","0"
"Number of Graduates","2015","Education","NFQ Level 8","Africa","Number","0"
"Number of Graduates","2015","Education","NFQ Level 8","Central Asia","Number","0"
"Number of Graduates","2015","Education","NFQ Level 8","South Asia","Number","0"
"Number of Graduates","2015","Education","NFQ Level 8","South-East Asia","Number","0"
"Number of Graduates","2015","Education","NFQ Level 8","East Asia","Number","0"
"Number of Graduates","2015","Education","NFQ Level 8","Mid-East","Number","0"
"Number of Graduates","2015","Education","NFQ Level 8","Australia and South Pacific","Number","0"
"Number of Graduates","2015","Education","NFQ Level 8","Central and South America","Number","0"
"Number of Graduates","2015","Education","NFQ Level 8","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2015","Education","NFQ Level 8","North America","Number","0"
"Number of Graduates","2015","Education","NFQ Level 9","All nationalities","Number","320"
"Number of Graduates","2015","Education","NFQ Level 9","UK","Number","0"
"Number of Graduates","2015","Education","NFQ Level 9","Ireland","Number","310"
"Number of Graduates","2015","Education","NFQ Level 9","Unknown","Number","0"
"Number of Graduates","2015","Education","NFQ Level 9","Africa","Number","0"
"Number of Graduates","2015","Education","NFQ Level 9","Central Asia","Number","0"
"Number of Graduates","2015","Education","NFQ Level 9","South Asia","Number","0"
"Number of Graduates","2015","Education","NFQ Level 9","South-East Asia","Number","0"
"Number of Graduates","2015","Education","NFQ Level 9","East Asia","Number","0"
"Number of Graduates","2015","Education","NFQ Level 9","Mid-East","Number","0"
"Number of Graduates","2015","Education","NFQ Level 9","Australia and South Pacific","Number","0"
"Number of Graduates","2015","Education","NFQ Level 9","Central and South America","Number","0"
"Number of Graduates","2015","Education","NFQ Level 9","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2015","Education","NFQ Level 9","North America","Number","10"
"Number of Graduates","2015","Education","NFQ Level 10","All nationalities","Number","0"
"Number of Graduates","2015","Education","NFQ Level 10","UK","Number","0"
"Number of Graduates","2015","Education","NFQ Level 10","Ireland","Number","0"
"Number of Graduates","2015","Education","NFQ Level 10","Unknown","Number","0"
"Number of Graduates","2015","Education","NFQ Level 10","Africa","Number","0"
"Number of Graduates","2015","Education","NFQ Level 10","Central Asia","Number","0"
"Number of Graduates","2015","Education","NFQ Level 10","South Asia","Number","0"
"Number of Graduates","2015","Education","NFQ Level 10","South-East Asia","Number","0"
"Number of Graduates","2015","Education","NFQ Level 10","East Asia","Number","0"
"Number of Graduates","2015","Education","NFQ Level 10","Mid-East","Number","0"
"Number of Graduates","2015","Education","NFQ Level 10","Australia and South Pacific","Number","0"
"Number of Graduates","2015","Education","NFQ Level 10","Central and South America","Number","0"
"Number of Graduates","2015","Education","NFQ Level 10","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2015","Education","NFQ Level 10","North America","Number","0"
"Number of Graduates","2015","Arts and Humanities","All NFQ Levels","All nationalities","Number","5790"
"Number of Graduates","2015","Arts and Humanities","All NFQ Levels","UK","Number","190"
"Number of Graduates","2015","Arts and Humanities","All NFQ Levels","Ireland","Number","5210"
"Number of Graduates","2015","Arts and Humanities","All NFQ Levels","Unknown","Number","0"
"Number of Graduates","2015","Arts and Humanities","All NFQ Levels","Africa","Number","10"
"Number of Graduates","2015","Arts and Humanities","All NFQ Levels","Central Asia","Number","0"
"Number of Graduates","2015","Arts and Humanities","All NFQ Levels","South Asia","Number","0"
"Number of Graduates","2015","Arts and Humanities","All NFQ Levels","South-East Asia","Number","10"
"Number of Graduates","2015","Arts and Humanities","All NFQ Levels","East Asia","Number","30"
"Number of Graduates","2015","Arts and Humanities","All NFQ Levels","Mid-East","Number","0"
"Number of Graduates","2015","Arts and Humanities","All NFQ Levels","Australia and South Pacific","Number","10"
"Number of Graduates","2015","Arts and Humanities","All NFQ Levels","Central and South America","Number","0"
"Number of Graduates","2015","Arts and Humanities","All NFQ Levels","Europe excluding UK and Ireland","Number","210"
"Number of Graduates","2015","Arts and Humanities","All NFQ Levels","North America","Number","130"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 6","All nationalities","Number","30"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 6","UK","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 6","Ireland","Number","30"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 6","Unknown","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 6","Africa","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 6","Central Asia","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 6","South Asia","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 6","South-East Asia","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 6","East Asia","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 6","Mid-East","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 6","Australia and South Pacific","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 6","Central and South America","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 6","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 6","North America","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 7","All nationalities","Number","280"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 7","UK","Number","10"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 7","Ireland","Number","250"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 7","Unknown","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 7","Africa","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 7","Central Asia","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 7","South Asia","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 7","South-East Asia","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 7","East Asia","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 7","Mid-East","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 7","Australia and South Pacific","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 7","Central and South America","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 7","Europe excluding UK and Ireland","Number","10"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 7","North America","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 8","All nationalities","Number","4690"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 8","UK","Number","140"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 8","Ireland","Number","4390"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 8","Unknown","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 8","Africa","Number","10"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 8","Central Asia","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 8","South Asia","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 8","South-East Asia","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 8","East Asia","Number","10"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 8","Mid-East","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 8","Australia and South Pacific","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 8","Central and South America","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 8","Europe excluding UK and Ireland","Number","110"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 8","North America","Number","30"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 9","All nationalities","Number","770"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 9","UK","Number","30"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 9","Ireland","Number","530"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 9","Unknown","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 9","Africa","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 9","Central Asia","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 9","South Asia","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 9","South-East Asia","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 9","East Asia","Number","20"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 9","Mid-East","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 9","Australia and South Pacific","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 9","Central and South America","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 9","Europe excluding UK and Ireland","Number","80"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 9","North America","Number","90"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 10","All nationalities","Number","30"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 10","UK","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 10","Ireland","Number","30"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 10","Unknown","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 10","Africa","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 10","Central Asia","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 10","South Asia","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 10","South-East Asia","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 10","East Asia","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 10","Mid-East","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 10","Australia and South Pacific","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 10","Central and South America","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 10","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2015","Arts and Humanities","NFQ Level 10","North America","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","All NFQ Levels","All nationalities","Number","2600"
"Number of Graduates","2015","Social Sciences, Journalism and Information","All NFQ Levels","UK","Number","60"
"Number of Graduates","2015","Social Sciences, Journalism and Information","All NFQ Levels","Ireland","Number","2220"
"Number of Graduates","2015","Social Sciences, Journalism and Information","All NFQ Levels","Unknown","Number","10"
"Number of Graduates","2015","Social Sciences, Journalism and Information","All NFQ Levels","Africa","Number","20"
"Number of Graduates","2015","Social Sciences, Journalism and Information","All NFQ Levels","Central Asia","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","All NFQ Levels","South Asia","Number","20"
"Number of Graduates","2015","Social Sciences, Journalism and Information","All NFQ Levels","South-East Asia","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","All NFQ Levels","East Asia","Number","40"
"Number of Graduates","2015","Social Sciences, Journalism and Information","All NFQ Levels","Mid-East","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","All NFQ Levels","Australia and South Pacific","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","All NFQ Levels","Central and South America","Number","10"
"Number of Graduates","2015","Social Sciences, Journalism and Information","All NFQ Levels","Europe excluding UK and Ireland","Number","140"
"Number of Graduates","2015","Social Sciences, Journalism and Information","All NFQ Levels","North America","Number","80"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 6","All nationalities","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 6","UK","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 6","Ireland","Number","0"
