"STATISTIC Label","Graduation Year","Field of Study","NFQ Level","Nationality","UNIT","VALUE"
"Number of Graduates","2010","Education","NFQ Level 10","East Asia","Number","0"
"Number of Graduates","2010","Education","NFQ Level 10","Mid-East","Number","0"
"Number of Graduates","2010","Education","NFQ Level 10","Australia and South Pacific","Number","0"
"Number of Graduates","2010","Education","NFQ Level 10","Central and South America","Number","0"
"Number of Graduates","2010","Education","NFQ Level 10","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2010","Education","NFQ Level 10","North America","Number","0"
"Number of Graduates","2010","Arts and Humanities","All NFQ Levels","All nationalities","Number","5420"
"Number of Graduates","2010","Arts and Humanities","All NFQ Levels","UK","Number","180"
"Number of Graduates","2010","Arts and Humanities","All NFQ Levels","Ireland","Number","4890"
"Number of Graduates","2010","Arts and Humanities","All NFQ Levels","Unknown","Number","10"
"Number of Graduates","2010","Arts and Humanities","All NFQ Levels","Africa","Number","10"
"Number of Graduates","2010","Arts and Humanities","All NFQ Levels","Central Asia","Number","0"
"Number of Graduates","2010","Arts and Humanities","All NFQ Levels","South Asia","Number","0"
"Number of Graduates","2010","Arts and Humanities","All NFQ Levels","South-East Asia","Number","0"
"Number of Graduates","2010","Arts and Humanities","All NFQ Levels","East Asia","Number","30"
"Number of Graduates","2010","Arts and Humanities","All NFQ Levels","Mid-East","Number","0"
"Number of Graduates","2010","Arts and Humanities","All NFQ Levels","Australia and South Pacific","Number","0"
"Number of Graduates","2010","Arts and Humanities","All NFQ Levels","Central and South America","Number","0"
"Number of Graduates","2010","Arts and Humanities","All NFQ Levels","Europe excluding UK and Ireland","Number","150"
"Number of Graduates","2010","Arts and Humanities","All NFQ Levels","North America","Number","150"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 6","All nationalities","Number","20"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 6","UK","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 6","Ireland","Number","20"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 6","Unknown","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 6","Africa","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 6","Central Asia","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 6","South Asia","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 6","South-East Asia","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 6","East Asia","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 6","Mid-East","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 6","Australia and South Pacific","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 6","Central and South America","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 6","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 6","North America","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 7","All nationalities","Number","320"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 7","UK","Number","10"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 7","Ireland","Number","290"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 7","Unknown","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 7","Africa","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 7","Central Asia","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 7","South Asia","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 7","South-East Asia","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 7","East Asia","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 7","Mid-East","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 7","Australia and South Pacific","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 7","Central and South America","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 7","Europe excluding UK and Ireland","Number","10"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 7","North America","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 8","All nationalities","Number","4000"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 8","UK","Number","130"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 8","Ireland","Number","3740"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 8","Unknown","Number","10"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 8","Africa","Number","10"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 8","Central Asia","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 8","South Asia","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 8","South-East Asia","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 8","East Asia","Number","10"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 8","Mid-East","Number","0"
