"Statistics","Census Year","Administrative Counties","Number of Children","Age of Child","UNIT","VALUE"
"Family units with children, by size and age of children","2022","Tipperary County Council","Families with 3 children","Total","Number","5467"
"Family units with children, by size and age of children","2022","Tipperary County Council","Families with 4 children","All children 15 and over","Number","233"
"Family units with children, by size and age of children","2022","Tipperary County Council","Families with 4 children","All children under 15","Number","580"
"Family units with children, by size and age of children","2022","Tipperary County Council","Families with 4 children","Children both under and over 15","Number","765"
"Family units with children, by size and age of children","2022","Tipperary County Council","Families with 4 children","Total","Number","1578"
"Family units with children, by size and age of children","2022","Tipperary County Council","Families with 5 or more children","All children 15 and over","Number","51"
"Family units with children, by size and age of children","2022","Tipperary County Council","Families with 5 or more children","All children under 15","Number","110"
"Family units with children, by size and age of children","2022","Tipperary County Council","Families with 5 or more children","Children both under and over 15","Number","326"
"Family units with children, by size and age of children","2022","Tipperary County Council","Families with 5 or more children","Total","Number","487"
"Family units with children, by size and age of children","2022","Tipperary County Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Tipperary County Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Tipperary County Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Tipperary County Council","Families without children","Total","Number","13075"
"Family units with children, by size and age of children","2022","Tipperary County Council","Total families","All children 15 and over","Number","13061"
"Family units with children, by size and age of children","2022","Tipperary County Council","Total families","All children under 15","Number","12387"
"Family units with children, by size and age of children","2022","Tipperary County Council","Total families","Children both under and over 15","Number","4829"
"Family units with children, by size and age of children","2022","Tipperary County Council","Total families","Total","Number","43352"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Families with 1 child","All children 15 and over","Number","5750"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Families with 1 child","All children under 15","Number","3289"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Families with 1 child","Total","Number","9039"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Families with 2 children","All children 15 and over","Number","2815"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Families with 2 children","All children under 15","Number","3797"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Families with 2 children","Children both under and over 15","Number","1399"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Families with 2 children","Total","Number","8011"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Families with 3 children","All children 15 and over","Number","758"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Families with 3 children","All children under 15","Number","1609"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Families with 3 children","Children both under and over 15","Number","1409"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Families with 3 children","Total","Number","3776"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Families with 4 children","All children 15 and over","Number","148"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Families with 4 children","All children under 15","Number","331"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Families with 4 children","Children both under and over 15","Number","586"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Families with 4 children","Total","Number","1065"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Families with 5 or more children","All children 15 and over","Number","20"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Families with 5 or more children","All children under 15","Number","75"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Families with 5 or more children","Children both under and over 15","Number","205"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Families with 5 or more children","Total","Number","300"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Families without children","Total","Number","10301"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Total families","All children 15 and over","Number","9491"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Total families","All children under 15","Number","9101"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Total families","Children both under and over 15","Number","3599"
"Family units with children, by size and age of children","2022","Waterford City & County Council","Total families","Total","Number","32492"
"Family units with children, by size and age of children","2022","Galway City Council","Families with 1 child","All children 15 and over","Number","2691"
"Family units with children, by size and age of children","2022","Galway City Council","Families with 1 child","All children under 15","Number","2040"
"Family units with children, by size and age of children","2022","Galway City Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Galway City Council","Families with 1 child","Total","Number","4731"
"Family units with children, by size and age of children","2022","Galway City Council","Families with 2 children","All children 15 and over","Number","1192"
"Family units with children, by size and age of children","2022","Galway City Council","Families with 2 children","All children under 15","Number","2077"
"Family units with children, by size and age of children","2022","Galway City Council","Families with 2 children","Children both under and over 15","Number","635"
"Family units with children, by size and age of children","2022","Galway City Council","Families with 2 children","Total","Number","3904"
"Family units with children, by size and age of children","2022","Galway City Council","Families with 3 children","All children 15 and over","Number","328"
"Family units with children, by size and age of children","2022","Galway City Council","Families with 3 children","All children under 15","Number","769"
"Family units with children, by size and age of children","2022","Galway City Council","Families with 3 children","Children both under and over 15","Number","600"
"Family units with children, by size and age of children","2022","Galway City Council","Families with 3 children","Total","Number","1697"
"Family units with children, by size and age of children","2022","Galway City Council","Families with 4 children","All children 15 and over","Number","79"
"Family units with children, by size and age of children","2022","Galway City Council","Families with 4 children","All children under 15","Number","156"
"Family units with children, by size and age of children","2022","Galway City Council","Families with 4 children","Children both under and over 15","Number","234"
"Family units with children, by size and age of children","2022","Galway City Council","Families with 4 children","Total","Number","469"
"Family units with children, by size and age of children","2022","Galway City Council","Families with 5 or more children","All children 15 and over","Number","14"
"Family units with children, by size and age of children","2022","Galway City Council","Families with 5 or more children","All children under 15","Number","46"
"Family units with children, by size and age of children","2022","Galway City Council","Families with 5 or more children","Children both under and over 15","Number","135"
"Family units with children, by size and age of children","2022","Galway City Council","Families with 5 or more children","Total","Number","195"
"Family units with children, by size and age of children","2022","Galway City Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Galway City Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Galway City Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Galway City Council","Families without children","Total","Number","6249"
"Family units with children, by size and age of children","2022","Galway City Council","Total families","All children 15 and over","Number","4304"
"Family units with children, by size and age of children","2022","Galway City Council","Total families","All children under 15","Number","5088"
"Family units with children, by size and age of children","2022","Galway City Council","Total families","Children both under and over 15","Number","1604"
"Family units with children, by size and age of children","2022","Galway City Council","Total families","Total","Number","17245"
"Family units with children, by size and age of children","2022","Galway County Council","Families with 1 child","All children 15 and over","Number","7882"
"Family units with children, by size and age of children","2022","Galway County Council","Families with 1 child","All children under 15","Number","4738"
"Family units with children, by size and age of children","2022","Galway County Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Galway County Council","Families with 1 child","Total","Number","12620"
"Family units with children, by size and age of children","2022","Galway County Council","Families with 2 children","All children 15 and over","Number","4378"
"Family units with children, by size and age of children","2022","Galway County Council","Families with 2 children","All children under 15","Number","6512"
"Family units with children, by size and age of children","2022","Galway County Council","Families with 2 children","Children both under and over 15","Number","1823"
"Family units with children, by size and age of children","2022","Galway County Council","Families with 2 children","Total","Number","12713"
"Family units with children, by size and age of children","2022","Galway County Council","Families with 3 children","All children 15 and over","Number","1556"
"Family units with children, by size and age of children","2022","Galway County Council","Families with 3 children","All children under 15","Number","3156"
"Family units with children, by size and age of children","2022","Galway County Council","Families with 3 children","Children both under and over 15","Number","2221"
"Family units with children, by size and age of children","2022","Galway County Council","Families with 3 children","Total","Number","6933"
"Family units with children, by size and age of children","2022","Galway County Council","Families with 4 children","All children 15 and over","Number","341"
"Family units with children, by size and age of children","2022","Galway County Council","Families with 4 children","All children under 15","Number","695"
"Family units with children, by size and age of children","2022","Galway County Council","Families with 4 children","Children both under and over 15","Number","911"
"Family units with children, by size and age of children","2022","Galway County Council","Families with 4 children","Total","Number","1947"
"Family units with children, by size and age of children","2022","Galway County Council","Families with 5 or more children","All children 15 and over","Number","69"
"Family units with children, by size and age of children","2022","Galway County Council","Families with 5 or more children","All children under 15","Number","120"
"Family units with children, by size and age of children","2022","Galway County Council","Families with 5 or more children","Children both under and over 15","Number","389"
"Family units with children, by size and age of children","2022","Galway County Council","Families with 5 or more children","Total","Number","578"
"Family units with children, by size and age of children","2022","Galway County Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Galway County Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Galway County Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Galway County Council","Families without children","Total","Number","14768"
"Family units with children, by size and age of children","2022","Galway County Council","Total families","All children 15 and over","Number","14226"
"Family units with children, by size and age of children","2022","Galway County Council","Total families","All children under 15","Number","15221"
"Family units with children, by size and age of children","2022","Galway County Council","Total families","Children both under and over 15","Number","5344"
"Family units with children, by size and age of children","2022","Galway County Council","Total families","Total","Number","49559"
"Family units with children, by size and age of children","2022","Leitrim County Council","Families with 1 child","All children 15 and over","Number","1419"
"Family units with children, by size and age of children","2022","Leitrim County Council","Families with 1 child","All children under 15","Number","876"
"Family units with children, by size and age of children","2022","Leitrim County Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Leitrim County Council","Families with 1 child","Total","Number","2295"
"Family units with children, by size and age of children","2022","Leitrim County Council","Families with 2 children","All children 15 and over","Number","661"
"Family units with children, by size and age of children","2022","Leitrim County Council","Families with 2 children","All children under 15","Number","1009"
"Family units with children, by size and age of children","2022","Leitrim County Council","Families with 2 children","Children both under and over 15","Number","333"
"Family units with children, by size and age of children","2022","Leitrim County Council","Families with 2 children","Total","Number","2003"
"Family units with children, by size and age of children","2022","Leitrim County Council","Families with 3 children","All children 15 and over","Number","227"
"Family units with children, by size and age of children","2022","Leitrim County Council","Families with 3 children","All children under 15","Number","541"
"Family units with children, by size and age of children","2022","Leitrim County Council","Families with 3 children","Children both under and over 15","Number","394"
"Family units with children, by size and age of children","2022","Leitrim County Council","Families with 3 children","Total","Number","1162"
"Family units with children, by size and age of children","2022","Leitrim County Council","Families with 4 children","All children 15 and over","Number","66"
"Family units with children, by size and age of children","2022","Leitrim County Council","Families with 4 children","All children under 15","Number","156"
"Family units with children, by size and age of children","2022","Leitrim County Council","Families with 4 children","Children both under and over 15","Number","173"
"Family units with children, by size and age of children","2022","Leitrim County Council","Families with 4 children","Total","Number","395"
"Family units with children, by size and age of children","2022","Leitrim County Council","Families with 5 or more children","All children 15 and over","Number","13"
"Family units with children, by size and age of children","2022","Leitrim County Council","Families with 5 or more children","All children under 15","Number","25"
"Family units with children, by size and age of children","2022","Leitrim County Council","Families with 5 or more children","Children both under and over 15","Number","85"
"Family units with children, by size and age of children","2022","Leitrim County Council","Families with 5 or more children","Total","Number","123"
"Family units with children, by size and age of children","2022","Leitrim County Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Leitrim County Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Leitrim County Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Leitrim County Council","Families without children","Total","Number","2973"
"Family units with children, by size and age of children","2022","Leitrim County Council","Total families","All children 15 and over","Number","2386"
"Family units with children, by size and age of children","2022","Leitrim County Council","Total families","All children under 15","Number","2607"
"Family units with children, by size and age of children","2022","Leitrim County Council","Total families","Children both under and over 15","Number","985"
"Family units with children, by size and age of children","2022","Leitrim County Council","Total families","Total","Number","8951"
"Family units with children, by size and age of children","2022","Mayo  County Council","Families with 1 child","All children 15 and over","Number","5995"
"Family units with children, by size and age of children","2022","Mayo  County Council","Families with 1 child","All children under 15","Number","3257"
"Family units with children, by size and age of children","2022","Mayo  County Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Mayo  County Council","Families with 1 child","Total","Number","9252"
"Family units with children, by size and age of children","2022","Mayo  County Council","Families with 2 children","All children 15 and over","Number","2822"
"Family units with children, by size and age of children","2022","Mayo  County Council","Families with 2 children","All children under 15","Number","3938"
"Family units with children, by size and age of children","2022","Mayo  County Council","Families with 2 children","Children both under and over 15","Number","1192"
"Family units with children, by size and age of children","2022","Mayo  County Council","Families with 2 children","Total","Number","7952"
"Family units with children, by size and age of children","2022","Mayo  County Council","Families with 3 children","All children 15 and over","Number","1006"
"Family units with children, by size and age of children","2022","Mayo  County Council","Families with 3 children","All children under 15","Number","1924"
"Family units with children, by size and age of children","2022","Mayo  County Council","Families with 3 children","Children both under and over 15","Number","1397"
"Family units with children, by size and age of children","2022","Mayo  County Council","Families with 3 children","Total","Number","4327"
"Family units with children, by size and age of children","2022","Mayo  County Council","Families with 4 children","All children 15 and over","Number","239"
"Family units with children, by size and age of children","2022","Mayo  County Council","Families with 4 children","All children under 15","Number","488"
"Family units with children, by size and age of children","2022","Mayo  County Council","Families with 4 children","Children both under and over 15","Number","734"
"Family units with children, by size and age of children","2022","Mayo  County Council","Families with 4 children","Total","Number","1461"
"Family units with children, by size and age of children","2022","Mayo  County Council","Families with 5 or more children","All children 15 and over","Number","45"
"Family units with children, by size and age of children","2022","Mayo  County Council","Families with 5 or more children","All children under 15","Number","104"
"Family units with children, by size and age of children","2022","Mayo  County Council","Families with 5 or more children","Children both under and over 15","Number","321"
"Family units with children, by size and age of children","2022","Mayo  County Council","Families with 5 or more children","Total","Number","470"
"Family units with children, by size and age of children","2022","Mayo  County Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Mayo  County Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Mayo  County Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Mayo  County Council","Families without children","Total","Number","11775"
"Family units with children, by size and age of children","2022","Mayo  County Council","Total families","All children 15 and over","Number","10107"
"Family units with children, by size and age of children","2022","Mayo  County Council","Total families","All children under 15","Number","9711"
"Family units with children, by size and age of children","2022","Mayo  County Council","Total families","Children both under and over 15","Number","3644"
"Family units with children, by size and age of children","2022","Mayo  County Council","Total families","Total","Number","35237"
"Family units with children, by size and age of children","2022","Roscommon County Council","Families with 1 child","All children 15 and over","Number","3043"
"Family units with children, by size and age of children","2022","Roscommon County Council","Families with 1 child","All children under 15","Number","1669"
"Family units with children, by size and age of children","2022","Roscommon County Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Roscommon County Council","Families with 1 child","Total","Number","4712"
"Family units with children, by size and age of children","2022","Roscommon County Council","Families with 2 children","All children 15 and over","Number","1477"
"Family units with children, by size and age of children","2022","Roscommon County Council","Families with 2 children","All children under 15","Number","2108"
"Family units with children, by size and age of children","2022","Roscommon County Council","Families with 2 children","Children both under and over 15","Number","663"
"Family units with children, by size and age of children","2022","Roscommon County Council","Families with 2 children","Total","Number","4248"
"Family units with children, by size and age of children","2022","Roscommon County Council","Families with 3 children","All children 15 and over","Number","464"
"Family units with children, by size and age of children","2022","Roscommon County Council","Families with 3 children","All children under 15","Number","1046"
"Family units with children, by size and age of children","2022","Roscommon County Council","Families with 3 children","Children both under and over 15","Number","774"
"Family units with children, by size and age of children","2022","Roscommon County Council","Families with 3 children","Total","Number","2284"
"Family units with children, by size and age of children","2022","Roscommon County Council","Families with 4 children","All children 15 and over","Number","112"
"Family units with children, by size and age of children","2022","Roscommon County Council","Families with 4 children","All children under 15","Number","256"
"Family units with children, by size and age of children","2022","Roscommon County Council","Families with 4 children","Children both under and over 15","Number","365"
"Family units with children, by size and age of children","2022","Roscommon County Council","Families with 4 children","Total","Number","733"
"Family units with children, by size and age of children","2022","Roscommon County Council","Families with 5 or more children","All children 15 and over","Number","18"
"Family units with children, by size and age of children","2022","Roscommon County Council","Families with 5 or more children","All children under 15","Number","59"
"Family units with children, by size and age of children","2022","Roscommon County Council","Families with 5 or more children","Children both under and over 15","Number","136"
"Family units with children, by size and age of children","2022","Roscommon County Council","Families with 5 or more children","Total","Number","213"
"Family units with children, by size and age of children","2022","Roscommon County Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Roscommon County Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Roscommon County Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Roscommon County Council","Families without children","Total","Number","5802"
"Family units with children, by size and age of children","2022","Roscommon County Council","Total families","All children 15 and over","Number","5114"
"Family units with children, by size and age of children","2022","Roscommon County Council","Total families","All children under 15","Number","5138"
"Family units with children, by size and age of children","2022","Roscommon County Council","Total families","Children both under and over 15","Number","1938"
"Family units with children, by size and age of children","2022","Roscommon County Council","Total families","Total","Number","17992"
"Family units with children, by size and age of children","2022","Sligo County Council","Families with 1 child","All children 15 and over","Number","2932"
"Family units with children, by size and age of children","2022","Sligo County Council","Families with 1 child","All children under 15","Number","1683"
"Family units with children, by size and age of children","2022","Sligo County Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Sligo County Council","Families with 1 child","Total","Number","4615"
"Family units with children, by size and age of children","2022","Sligo County Council","Families with 2 children","All children 15 and over","Number","1308"
"Family units with children, by size and age of children","2022","Sligo County Council","Families with 2 children","All children under 15","Number","2018"
"Family units with children, by size and age of children","2022","Sligo County Council","Families with 2 children","Children both under and over 15","Number","628"
"Family units with children, by size and age of children","2022","Sligo County Council","Families with 2 children","Total","Number","3954"
"Family units with children, by size and age of children","2022","Sligo County Council","Families with 3 children","All children 15 and over","Number","403"
"Family units with children, by size and age of children","2022","Sligo County Council","Families with 3 children","All children under 15","Number","982"
"Family units with children, by size and age of children","2022","Sligo County Council","Families with 3 children","Children both under and over 15","Number","705"
"Family units with children, by size and age of children","2022","Sligo County Council","Families with 3 children","Total","Number","2090"
"Family units with children, by size and age of children","2022","Sligo County Council","Families with 4 children","All children 15 and over","Number","95"
"Family units with children, by size and age of children","2022","Sligo County Council","Families with 4 children","All children under 15","Number","215"
"Family units with children, by size and age of children","2022","Sligo County Council","Families with 4 children","Children both under and over 15","Number","342"
"Family units with children, by size and age of children","2022","Sligo County Council","Families with 4 children","Total","Number","652"
"Family units with children, by size and age of children","2022","Sligo County Council","Families with 5 or more children","All children 15 and over","Number","13"
"Family units with children, by size and age of children","2022","Sligo County Council","Families with 5 or more children","All children under 15","Number","46"
"Family units with children, by size and age of children","2022","Sligo County Council","Families with 5 or more children","Children both under and over 15","Number","151"
"Family units with children, by size and age of children","2022","Sligo County Council","Families with 5 or more children","Total","Number","210"
"Family units with children, by size and age of children","2022","Sligo County Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Sligo County Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Sligo County Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Sligo County Council","Families without children","Total","Number","5893"
"Family units with children, by size and age of children","2022","Sligo County Council","Total families","All children 15 and over","Number","4751"
"Family units with children, by size and age of children","2022","Sligo County Council","Total families","All children under 15","Number","4944"
"Family units with children, by size and age of children","2022","Sligo County Council","Total families","Children both under and over 15","Number","1826"
"Family units with children, by size and age of children","2022","Sligo County Council","Total families","Total","Number","17414"
"Family units with children, by size and age of children","2022","Cavan County Council","Families with 1 child","All children 15 and over","Number","3192"
"Family units with children, by size and age of children","2022","Cavan County Council","Families with 1 child","All children under 15","Number","2089"
"Family units with children, by size and age of children","2022","Cavan County Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Cavan County Council","Families with 1 child","Total","Number","5281"
"Family units with children, by size and age of children","2022","Cavan County Council","Families with 2 children","All children 15 and over","Number","1690"
"Family units with children, by size and age of children","2022","Cavan County Council","Families with 2 children","All children under 15","Number","2505"
"Family units with children, by size and age of children","2022","Cavan County Council","Families with 2 children","Children both under and over 15","Number","840"
"Family units with children, by size and age of children","2022","Cavan County Council","Families with 2 children","Total","Number","5035"
"Family units with children, by size and age of children","2022","Cavan County Council","Families with 3 children","All children 15 and over","Number","648"
"Family units with children, by size and age of children","2022","Cavan County Council","Families with 3 children","All children under 15","Number","1260"
"Family units with children, by size and age of children","2022","Cavan County Council","Families with 3 children","Children both under and over 15","Number","998"
"Family units with children, by size and age of children","2022","Cavan County Council","Families with 3 children","Total","Number","2906"
"Family units with children, by size and age of children","2022","Cavan County Council","Families with 4 children","All children 15 and over","Number","166"
"Family units with children, by size and age of children","2022","Cavan County Council","Families with 4 children","All children under 15","Number","358"
"Family units with children, by size and age of children","2022","Cavan County Council","Families with 4 children","Children both under and over 15","Number","500"
"Family units with children, by size and age of children","2022","Cavan County Council","Families with 4 children","Total","Number","1024"
"Family units with children, by size and age of children","2022","Cavan County Council","Families with 5 or more children","All children 15 and over","Number","38"
"Family units with children, by size and age of children","2022","Cavan County Council","Families with 5 or more children","All children under 15","Number","63"
"Family units with children, by size and age of children","2022","Cavan County Council","Families with 5 or more children","Children both under and over 15","Number","212"
"Family units with children, by size and age of children","2022","Cavan County Council","Families with 5 or more children","Total","Number","313"
"Family units with children, by size and age of children","2022","Cavan County Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Cavan County Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Cavan County Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Cavan County Council","Families without children","Total","Number","6100"
"Family units with children, by size and age of children","2022","Cavan County Council","Total families","All children 15 and over","Number","5734"
"Family units with children, by size and age of children","2022","Cavan County Council","Total families","All children under 15","Number","6275"
"Family units with children, by size and age of children","2022","Cavan County Council","Total families","Children both under and over 15","Number","2550"
"Family units with children, by size and age of children","2022","Cavan County Council","Total families","Total","Number","20659"
"Family units with children, by size and age of children","2022","Donegal County Council","Families with 1 child","All children 15 and over","Number","7361"
"Family units with children, by size and age of children","2022","Donegal County Council","Families with 1 child","All children under 15","Number","3963"
"Family units with children, by size and age of children","2022","Donegal County Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Donegal County Council","Families with 1 child","Total","Number","11324"
"Family units with children, by size and age of children","2022","Donegal County Council","Families with 2 children","All children 15 and over","Number","3599"
"Family units with children, by size and age of children","2022","Donegal County Council","Families with 2 children","All children under 15","Number","4881"
"Family units with children, by size and age of children","2022","Donegal County Council","Families with 2 children","Children both under and over 15","Number","1720"
"Family units with children, by size and age of children","2022","Donegal County Council","Families with 2 children","Total","Number","10200"
"Family units with children, by size and age of children","2022","Donegal County Council","Families with 3 children","All children 15 and over","Number","1108"
"Family units with children, by size and age of children","2022","Donegal County Council","Families with 3 children","All children under 15","Number","2406"
"Family units with children, by size and age of children","2022","Donegal County Council","Families with 3 children","Children both under and over 15","Number","1997"
"Family units with children, by size and age of children","2022","Donegal County Council","Families with 3 children","Total","Number","5511"
"Family units with children, by size and age of children","2022","Donegal County Council","Families with 4 children","All children 15 and over","Number","252"
"Family units with children, by size and age of children","2022","Donegal County Council","Families with 4 children","All children under 15","Number","633"
"Family units with children, by size and age of children","2022","Donegal County Council","Families with 4 children","Children both under and over 15","Number","1049"
"Family units with children, by size and age of children","2022","Donegal County Council","Families with 4 children","Total","Number","1934"
"Family units with children, by size and age of children","2022","Donegal County Council","Families with 5 or more children","All children 15 and over","Number","65"
"Family units with children, by size and age of children","2022","Donegal County Council","Families with 5 or more children","All children under 15","Number","136"
"Family units with children, by size and age of children","2022","Donegal County Council","Families with 5 or more children","Children both under and over 15","Number","433"
"Family units with children, by size and age of children","2022","Donegal County Council","Families with 5 or more children","Total","Number","634"
"Family units with children, by size and age of children","2022","Donegal County Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Donegal County Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Donegal County Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Donegal County Council","Families without children","Total","Number","13226"
"Family units with children, by size and age of children","2022","Donegal County Council","Total families","All children 15 and over","Number","12385"
"Family units with children, by size and age of children","2022","Donegal County Council","Total families","All children under 15","Number","12019"
"Family units with children, by size and age of children","2022","Donegal County Council","Total families","Children both under and over 15","Number","5199"
"Family units with children, by size and age of children","2022","Donegal County Council","Total families","Total","Number","42829"
"Family units with children, by size and age of children","2022","Monaghan County Council","Families with 1 child","All children 15 and over","Number","2728"
"Family units with children, by size and age of children","2022","Monaghan County Council","Families with 1 child","All children under 15","Number","1527"
"Family units with children, by size and age of children","2022","Monaghan County Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Monaghan County Council","Families with 1 child","Total","Number","4255"
"Family units with children, by size and age of children","2022","Monaghan County Council","Families with 2 children","All children 15 and over","Number","1400"
"Family units with children, by size and age of children","2022","Monaghan County Council","Families with 2 children","All children under 15","Number","1928"
"Family units with children, by size and age of children","2022","Monaghan County Council","Families with 2 children","Children both under and over 15","Number","640"
"Family units with children, by size and age of children","2022","Monaghan County Council","Families with 2 children","Total","Number","3968"
"Family units with children, by size and age of children","2022","Monaghan County Council","Families with 3 children","All children 15 and over","Number","498"
"Family units with children, by size and age of children","2022","Monaghan County Council","Families with 3 children","All children under 15","Number","1122"
"Family units with children, by size and age of children","2022","Monaghan County Council","Families with 3 children","Children both under and over 15","Number","770"
"Family units with children, by size and age of children","2022","Monaghan County Council","Families with 3 children","Total","Number","2390"
"Family units with children, by size and age of children","2022","Monaghan County Council","Families with 4 children","All children 15 and over","Number","128"
"Family units with children, by size and age of children","2022","Monaghan County Council","Families with 4 children","All children under 15","Number","353"
"Family units with children, by size and age of children","2022","Monaghan County Council","Families with 4 children","Children both under and over 15","Number","433"
"Family units with children, by size and age of children","2022","Monaghan County Council","Families with 4 children","Total","Number","914"
"Family units with children, by size and age of children","2022","Monaghan County Council","Families with 5 or more children","All children 15 and over","Number","34"
"Family units with children, by size and age of children","2022","Monaghan County Council","Families with 5 or more children","All children under 15","Number","56"
"Family units with children, by size and age of children","2022","Monaghan County Council","Families with 5 or more children","Children both under and over 15","Number","181"
"Family units with children, by size and age of children","2022","Monaghan County Council","Families with 5 or more children","Total","Number","271"
"Family units with children, by size and age of children","2022","Monaghan County Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Monaghan County Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Monaghan County Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Monaghan County Council","Families without children","Total","Number","4637"
"Family units with children, by size and age of children","2022","Monaghan County Council","Total families","All children 15 and over","Number","4788"
"Family units with children, by size and age of children","2022","Monaghan County Council","Total families","All children under 15","Number","4986"
"Family units with children, by size and age of children","2022","Monaghan County Council","Total families","Children both under and over 15","Number","2024"
"Family units with children, by size and age of children","2022","Monaghan County Council","Total families","Total","Number","16435"
