"Statistics","Census Year","Administrative Counties","Number of Children","Age of Child","UNIT","VALUE"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Families with 5 or more children","All children under 15","Number","52"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Families with 5 or more children","Children both under and over 15","Number","213"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Families with 5 or more children","Total","Number","308"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Families without children","Total","Number","20245"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Total families","All children 15 and over","Number","16401"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Total families","All children under 15","Number","17943"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Total families","Children both under and over 15","Number","4842"
"Family units with children, by size and age of children","2022","Dún Laoghaire Rathdown County Council","Total families","Total","Number","59431"
"Family units with children, by size and age of children","2022","Fingal County Council","Families with 1 child","All children 15 and over","Number","12111"
"Family units with children, by size and age of children","2022","Fingal County Council","Families with 1 child","All children under 15","Number","10609"
"Family units with children, by size and age of children","2022","Fingal County Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Fingal County Council","Families with 1 child","Total","Number","22720"
"Family units with children, by size and age of children","2022","Fingal County Council","Families with 2 children","All children 15 and over","Number","7290"
"Family units with children, by size and age of children","2022","Fingal County Council","Families with 2 children","All children under 15","Number","12547"
"Family units with children, by size and age of children","2022","Fingal County Council","Families with 2 children","Children both under and over 15","Number","4016"
"Family units with children, by size and age of children","2022","Fingal County Council","Families with 2 children","Total","Number","23853"
"Family units with children, by size and age of children","2022","Fingal County Council","Families with 3 children","All children 15 and over","Number","2233"
"Family units with children, by size and age of children","2022","Fingal County Council","Families with 3 children","All children under 15","Number","4552"
"Family units with children, by size and age of children","2022","Fingal County Council","Families with 3 children","Children both under and over 15","Number","3856"
"Family units with children, by size and age of children","2022","Fingal County Council","Families with 3 children","Total","Number","10641"
"Family units with children, by size and age of children","2022","Fingal County Council","Families with 4 children","All children 15 and over","Number","415"
"Family units with children, by size and age of children","2022","Fingal County Council","Families with 4 children","All children under 15","Number","833"
"Family units with children, by size and age of children","2022","Fingal County Council","Families with 4 children","Children both under and over 15","Number","1620"
"Family units with children, by size and age of children","2022","Fingal County Council","Families with 4 children","Total","Number","2868"
"Family units with children, by size and age of children","2022","Fingal County Council","Families with 5 or more children","All children 15 and over","Number","61"
"Family units with children, by size and age of children","2022","Fingal County Council","Families with 5 or more children","All children under 15","Number","181"
"Family units with children, by size and age of children","2022","Fingal County Council","Families with 5 or more children","Children both under and over 15","Number","612"
"Family units with children, by size and age of children","2022","Fingal County Council","Families with 5 or more children","Total","Number","854"
"Family units with children, by size and age of children","2022","Fingal County Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Fingal County Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Fingal County Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Fingal County Council","Families without children","Total","Number","22482"
"Family units with children, by size and age of children","2022","Fingal County Council","Total families","All children 15 and over","Number","22110"
"Family units with children, by size and age of children","2022","Fingal County Council","Total families","All children under 15","Number","28722"
"Family units with children, by size and age of children","2022","Fingal County Council","Total families","Children both under and over 15","Number","10104"
"Family units with children, by size and age of children","2022","Fingal County Council","Total families","Total","Number","83418"
"Family units with children, by size and age of children","2022","South Dublin County Council","Families with 1 child","All children 15 and over","Number","12515"
"Family units with children, by size and age of children","2022","South Dublin County Council","Families with 1 child","All children under 15","Number","9285"
"Family units with children, by size and age of children","2022","South Dublin County Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","South Dublin County Council","Families with 1 child","Total","Number","21800"
"Family units with children, by size and age of children","2022","South Dublin County Council","Families with 2 children","All children 15 and over","Number","7178"
"Family units with children, by size and age of children","2022","South Dublin County Council","Families with 2 children","All children under 15","Number","10491"
"Family units with children, by size and age of children","2022","South Dublin County Council","Families with 2 children","Children both under and over 15","Number","3532"
"Family units with children, by size and age of children","2022","South Dublin County Council","Families with 2 children","Total","Number","21201"
"Family units with children, by size and age of children","2022","South Dublin County Council","Families with 3 children","All children 15 and over","Number","2122"
"Family units with children, by size and age of children","2022","South Dublin County Council","Families with 3 children","All children under 15","Number","3786"
"Family units with children, by size and age of children","2022","South Dublin County Council","Families with 3 children","Children both under and over 15","Number","3494"
"Family units with children, by size and age of children","2022","South Dublin County Council","Families with 3 children","Total","Number","9402"
"Family units with children, by size and age of children","2022","South Dublin County Council","Families with 4 children","All children 15 and over","Number","430"
"Family units with children, by size and age of children","2022","South Dublin County Council","Families with 4 children","All children under 15","Number","752"
"Family units with children, by size and age of children","2022","South Dublin County Council","Families with 4 children","Children both under and over 15","Number","1491"
"Family units with children, by size and age of children","2022","South Dublin County Council","Families with 4 children","Total","Number","2673"
"Family units with children, by size and age of children","2022","South Dublin County Council","Families with 5 or more children","All children 15 and over","Number","79"
"Family units with children, by size and age of children","2022","South Dublin County Council","Families with 5 or more children","All children under 15","Number","158"
"Family units with children, by size and age of children","2022","South Dublin County Council","Families with 5 or more children","Children both under and over 15","Number","652"
"Family units with children, by size and age of children","2022","South Dublin County Council","Families with 5 or more children","Total","Number","889"
"Family units with children, by size and age of children","2022","South Dublin County Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","South Dublin County Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","South Dublin County Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","South Dublin County Council","Families without children","Total","Number","20658"
"Family units with children, by size and age of children","2022","South Dublin County Council","Total families","All children 15 and over","Number","22324"
"Family units with children, by size and age of children","2022","South Dublin County Council","Total families","All children under 15","Number","24472"
"Family units with children, by size and age of children","2022","South Dublin County Council","Total families","Children both under and over 15","Number","9169"
"Family units with children, by size and age of children","2022","South Dublin County Council","Total families","Total","Number","76623"
"Family units with children, by size and age of children","2022","Kildare County Council","Families with 1 child","All children 15 and over","Number","9737"
"Family units with children, by size and age of children","2022","Kildare County Council","Families with 1 child","All children under 15","Number","7413"
"Family units with children, by size and age of children","2022","Kildare County Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Kildare County Council","Families with 1 child","Total","Number","17150"
"Family units with children, by size and age of children","2022","Kildare County Council","Families with 2 children","All children 15 and over","Number","5889"
"Family units with children, by size and age of children","2022","Kildare County Council","Families with 2 children","All children under 15","Number","9215"
"Family units with children, by size and age of children","2022","Kildare County Council","Families with 2 children","Children both under and over 15","Number","2936"
"Family units with children, by size and age of children","2022","Kildare County Council","Families with 2 children","Total","Number","18040"
"Family units with children, by size and age of children","2022","Kildare County Council","Families with 3 children","All children 15 and over","Number","1799"
"Family units with children, by size and age of children","2022","Kildare County Council","Families with 3 children","All children under 15","Number","3577"
"Family units with children, by size and age of children","2022","Kildare County Council","Families with 3 children","Children both under and over 15","Number","3095"
"Family units with children, by size and age of children","2022","Kildare County Council","Families with 3 children","Total","Number","8471"
"Family units with children, by size and age of children","2022","Kildare County Council","Families with 4 children","All children 15 and over","Number","390"
"Family units with children, by size and age of children","2022","Kildare County Council","Families with 4 children","All children under 15","Number","653"
"Family units with children, by size and age of children","2022","Kildare County Council","Families with 4 children","Children both under and over 15","Number","1277"
"Family units with children, by size and age of children","2022","Kildare County Council","Families with 4 children","Total","Number","2320"
"Family units with children, by size and age of children","2022","Kildare County Council","Families with 5 or more children","All children 15 and over","Number","61"
"Family units with children, by size and age of children","2022","Kildare County Council","Families with 5 or more children","All children under 15","Number","117"
"Family units with children, by size and age of children","2022","Kildare County Council","Families with 5 or more children","Children both under and over 15","Number","403"
"Family units with children, by size and age of children","2022","Kildare County Council","Families with 5 or more children","Total","Number","581"
"Family units with children, by size and age of children","2022","Kildare County Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Kildare County Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Kildare County Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Kildare County Council","Families without children","Total","Number","17905"
"Family units with children, by size and age of children","2022","Kildare County Council","Total families","All children 15 and over","Number","17876"
"Family units with children, by size and age of children","2022","Kildare County Council","Total families","All children under 15","Number","20975"
"Family units with children, by size and age of children","2022","Kildare County Council","Total families","Children both under and over 15","Number","7711"
"Family units with children, by size and age of children","2022","Kildare County Council","Total families","Total","Number","64467"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Families with 1 child","All children 15 and over","Number","4654"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Families with 1 child","All children under 15","Number","2662"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Families with 1 child","Total","Number","7316"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Families with 2 children","All children 15 and over","Number","2375"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Families with 2 children","All children under 15","Number","3270"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Families with 2 children","Children both under and over 15","Number","1070"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Families with 2 children","Total","Number","6715"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Families with 3 children","All children 15 and over","Number","802"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Families with 3 children","All children under 15","Number","1511"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Families with 3 children","Children both under and over 15","Number","1120"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Families with 3 children","Total","Number","3433"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Families with 4 children","All children 15 and over","Number","166"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Families with 4 children","All children under 15","Number","344"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Families with 4 children","Children both under and over 15","Number","518"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Families with 4 children","Total","Number","1028"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Families with 5 or more children","All children 15 and over","Number","20"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Families with 5 or more children","All children under 15","Number","71"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Families with 5 or more children","Children both under and over 15","Number","199"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Families with 5 or more children","Total","Number","290"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Families without children","Total","Number","8024"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Total families","All children 15 and over","Number","8017"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Total families","All children under 15","Number","7858"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Total families","Children both under and over 15","Number","2907"
"Family units with children, by size and age of children","2022","Kilkenny County Council","Total families","Total","Number","26806"
"Family units with children, by size and age of children","2022","Laois County Council","Families with 1 child","All children 15 and over","Number","3644"
"Family units with children, by size and age of children","2022","Laois County Council","Families with 1 child","All children under 15","Number","2590"
"Family units with children, by size and age of children","2022","Laois County Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Laois County Council","Families with 1 child","Total","Number","6234"
"Family units with children, by size and age of children","2022","Laois County Council","Families with 2 children","All children 15 and over","Number","2049"
"Family units with children, by size and age of children","2022","Laois County Council","Families with 2 children","All children under 15","Number","3145"
"Family units with children, by size and age of children","2022","Laois County Council","Families with 2 children","Children both under and over 15","Number","1094"
"Family units with children, by size and age of children","2022","Laois County Council","Families with 2 children","Total","Number","6288"
"Family units with children, by size and age of children","2022","Laois County Council","Families with 3 children","All children 15 and over","Number","693"
"Family units with children, by size and age of children","2022","Laois County Council","Families with 3 children","All children under 15","Number","1341"
"Family units with children, by size and age of children","2022","Laois County Council","Families with 3 children","Children both under and over 15","Number","1297"
"Family units with children, by size and age of children","2022","Laois County Council","Families with 3 children","Total","Number","3331"
"Family units with children, by size and age of children","2022","Laois County Council","Families with 4 children","All children 15 and over","Number","150"
"Family units with children, by size and age of children","2022","Laois County Council","Families with 4 children","All children under 15","Number","323"
"Family units with children, by size and age of children","2022","Laois County Council","Families with 4 children","Children both under and over 15","Number","558"
"Family units with children, by size and age of children","2022","Laois County Council","Families with 4 children","Total","Number","1031"
"Family units with children, by size and age of children","2022","Laois County Council","Families with 5 or more children","All children 15 and over","Number","22"
"Family units with children, by size and age of children","2022","Laois County Council","Families with 5 or more children","All children under 15","Number","53"
"Family units with children, by size and age of children","2022","Laois County Council","Families with 5 or more children","Children both under and over 15","Number","236"
"Family units with children, by size and age of children","2022","Laois County Council","Families with 5 or more children","Total","Number","311"
"Family units with children, by size and age of children","2022","Laois County Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Laois County Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Laois County Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Laois County Council","Families without children","Total","Number","6221"
"Family units with children, by size and age of children","2022","Laois County Council","Total families","All children 15 and over","Number","6558"
"Family units with children, by size and age of children","2022","Laois County Council","Total families","All children under 15","Number","7452"
"Family units with children, by size and age of children","2022","Laois County Council","Total families","Children both under and over 15","Number","3185"
"Family units with children, by size and age of children","2022","Laois County Council","Total families","Total","Number","23416"
"Family units with children, by size and age of children","2022","Longford County Council","Families with 1 child","All children 15 and over","Number","1792"
"Family units with children, by size and age of children","2022","Longford County Council","Families with 1 child","All children under 15","Number","1070"
"Family units with children, by size and age of children","2022","Longford County Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Longford County Council","Families with 1 child","Total","Number","2862"
"Family units with children, by size and age of children","2022","Longford County Council","Families with 2 children","All children 15 and over","Number","824"
"Family units with children, by size and age of children","2022","Longford County Council","Families with 2 children","All children under 15","Number","1308"
"Family units with children, by size and age of children","2022","Longford County Council","Families with 2 children","Children both under and over 15","Number","472"
"Family units with children, by size and age of children","2022","Longford County Council","Families with 2 children","Total","Number","2604"
"Family units with children, by size and age of children","2022","Longford County Council","Families with 3 children","All children 15 and over","Number","306"
"Family units with children, by size and age of children","2022","Longford County Council","Families with 3 children","All children under 15","Number","617"
