"Statistic Label","CensusYear","Detailed Marital Status","County and City","Sex","Age Group","UNIT","VALUE"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Both sexes","25 - 29 years","Number","15809"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Both sexes","30 - 34 years","Number","16242"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Both sexes","35 - 39 years","Number","14728"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Both sexes","40 - 44 years","Number","14128"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Both sexes","45 - 49 years","Number","14329"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Both sexes","50 - 54 years","Number","13032"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Both sexes","55 - 59 years","Number","11487"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Both sexes","60 - 64 years","Number","10166"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Both sexes","65 - 69 years","Number","8891"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Both sexes","70 - 74 years","Number","7470"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Both sexes","75 - 79 years","Number","5948"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Both sexes","80 - 84 years","Number","4154"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Both sexes","85 years and over","Number","3409"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Male","All ages","Number","98567"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Male","Under 25 years","Number","33506"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Male","25 - 29 years","Number","7560"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Male","30 - 34 years","Number","7903"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Male","35 - 39 years","Number","7161"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Male","40 - 44 years","Number","6747"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Male","45 - 49 years","Number","6668"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Male","50 - 54 years","Number","6169"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Male","55 - 59 years","Number","5451"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Male","60 - 64 years","Number","4730"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Male","65 - 69 years","Number","4101"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Male","70 - 74 years","Number","3347"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Male","75 - 79 years","Number","2621"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Male","80 - 84 years","Number","1579"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Male","85 years and over","Number","1024"
