"Statistic Label","Sex","Socio Economic Group","Nationality","CensusYear","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Omani","2016","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Singaporean","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Singaporean","2016","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Sri Lankan","2011","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Sri Lankan","2016","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Syrian","2011","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Syrian","2016","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Taiwanese","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Taiwanese","2016","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Vietnamese","2011","Number","15"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Vietnamese","2016","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","American (US)","2011","Number","79"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","American (US)","2016","Number","59"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Brazilian","2011","Number","265"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Brazilian","2016","Number","339"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Canadian","2011","Number","10"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Canadian","2016","Number","12"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Argentine","2011","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Argentine","2016","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Chilean","2011","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Chilean","2016","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Colombian","2011","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Colombian","2016","Number","4"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Mexican","2011","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Mexican","2016","Number","9"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Venezuelan","2011","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Venezuelan","2016","Number","14"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Afghan","2011","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Afghan","2016","Number","10"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Australian","2011","Number","23"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Australian","2016","Number","20"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","New Zealander","2011","Number","8"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","New Zealander","2016","Number","10"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Multi nationality","2011","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Multi nationality","2016","Number","90"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","No nationality","2011","Number","31"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","No nationality","2016","Number","29"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Not stated","2011","Number","690"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Not stated","2016","Number","779"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Belarusian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Belarusian","2016","Number","9"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Bosnian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Bosnian","2016","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Bulgarian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Bulgarian","2016","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Croatian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Croatian","2016","Number","7"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Czech","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Czech","2016","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Finnish","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Finnish","2016","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-French","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-French","2016","Number","4"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-German","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-German","2016","Number","4"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Hungarian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Hungarian","2016","Number","7"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Italian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Italian","2016","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Latvian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Latvian","2016","Number","18"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Lithuanian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Lithuanian","2016","Number","31"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Dutch","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Dutch","2016","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Polish","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Polish","2016","Number","185"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Portuguese","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Portuguese","2016","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Romanian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Romanian","2016","Number","108"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Slovakian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Slovakian","2016","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Spanish","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Spanish","2016","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Swedish","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Swedish","2016","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Other European","2011","Number","126"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Other European","2016","Number","85"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Algerian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Algerian","2016","Number","8"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Congolese","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Congolese","2016","Number","7"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Egyptian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Egyptian","2016","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Libyan","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Libyan","2016","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Nigerian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Nigerian","2016","Number","60"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-South African","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-South African","2016","Number","9"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Sudanese","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Sudanese","2016","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Zimbabwean","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Zimbabwean","2016","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Other African","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Other African","2016","Number","21"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Chinese","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Chinese","2016","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Indian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Indian","2016","Number","8"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Iranian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Iranian","2016","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Iraqi","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Iraqi","2016","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Japanese","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Japanese","2016","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Malaysian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Malaysian","2016","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Pakistani","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Pakistani","2016","Number","14"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Filipino","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Filipino","2016","Number","105"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Thai","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Thai","2016","Number","7"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Vietnamese","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Vietnamese","2016","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Other Asian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Other Asian","2016","Number","15"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Brazilian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Brazilian","2016","Number","20"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Canadian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Canadian","2016","Number","11"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Mexican","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Mexican","2016","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Other American","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Other American","2016","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Australian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-Australian","2016","Number","41"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-New Zealander","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Irish-New Zealander","2016","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Other European","2011","Number","28"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Other European","2016","Number","30"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Other African","2011","Number","44"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Other African","2016","Number","39"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Other Asian","2011","Number","18"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Other Asian","2016","Number","15"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Other American","2011","Number","14"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Other American","2016","Number","12"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Other nationalities","2011","Number","94"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Other nationalities","2016","Number","72"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Kosovan","2011","Number","13"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","Kosovan","2016","Number","4"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","All nationalities","2011","Number","82940"
"Population Usually Resident and Present in the State 2011 to 2016","Male","G. Unskilled","All nationalities","2016","Number","82073"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Irish","2011","Number","113688"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Irish","2016","Number","100712"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Irish-American","2011","Number","447"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Irish-American","2016","Number","461"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Irish-Other","2011","Number","448"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Irish-Other","2016","Number","36"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","UK","2011","Number","4815"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","UK","2016","Number","4212"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Austrian","2011","Number","16"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Austrian","2016","Number","18"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Belgian","2011","Number","17"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Belgian","2016","Number","26"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Danish","2011","Number","9"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Danish","2016","Number","21"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Finnish","2011","Number","4"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Finnish","2016","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","French","2011","Number","158"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","French","2016","Number","137"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","German","2011","Number","258"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","German","2016","Number","225"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Greek","2011","Number","14"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Greek","2016","Number","12"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Italian","2011","Number","129"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Italian","2016","Number","140"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Luxembourger","2011","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Luxembourger","2016","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Dutch","2011","Number","179"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Dutch","2016","Number","159"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Portuguese","2011","Number","25"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Portuguese","2016","Number","48"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Spanish","2011","Number","55"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Spanish","2016","Number","92"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Swedish","2011","Number","12"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Swedish","2016","Number","21"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Cypriot","2011","Number","4"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Cypriot","2016","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Czech","2011","Number","64"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Czech","2016","Number","56"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Estonian","2011","Number","27"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Estonian","2016","Number","29"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Irish-UK","2011","Number","448"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Irish-UK","2016","Number","429"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Hungarian","2011","Number","119"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Hungarian","2016","Number","171"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Latvian","2011","Number","171"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Latvian","2016","Number","228"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Lithuanian","2011","Number","343"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Lithuanian","2016","Number","425"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Maltese","2011","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Maltese","2016","Number","6"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Polish","2011","Number","1378"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Polish","2016","Number","2019"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Slovak","2011","Number","72"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Slovak","2016","Number","93"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Slovenian","2011","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Slovenian","2016","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Bulgarian","2011","Number","62"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Bulgarian","2016","Number","56"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Romanian","2011","Number","693"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Romanian","2016","Number","805"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Croatian","2011","Number","21"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Croatian","2016","Number","33"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Russian","2011","Number","55"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Russian","2016","Number","24"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Ukrainian","2011","Number","74"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Ukrainian","2016","Number","33"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Moldovan","2011","Number","83"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Moldovan","2016","Number","57"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Turk","2011","Number","35"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Turk","2016","Number","32"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Belarusian","2011","Number","7"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Belarusian","2016","Number","4"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Bosnian and Herzegovinian","2011","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Bosnian and Herzegovinian","2016","Number","6"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Norwegian","2011","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Norwegian","2016","Number","12"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Serbian","2011","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Serbian","2016","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Swiss","2011","Number","19"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Swiss","2016","Number","11"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Nigerian","2011","Number","812"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Nigerian","2016","Number","168"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","South African","2011","Number","84"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","South African","2016","Number","41"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Mauritian","2011","Number","6"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Mauritian","2016","Number","9"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Algerian","2011","Number","36"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Algerian","2016","Number","8"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Congolese","2011","Number","13"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Congolese","2016","Number","10"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Egyptian","2011","Number","18"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Egyptian","2016","Number","13"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Ghanaian","2011","Number","25"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Ghanaian","2016","Number","10"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Somali","2011","Number","14"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Somali","2016","Number","11"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Sudanese","2011","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Sudanese","2016","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Zimbabwean","2011","Number","6"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Zimbabwean","2016","Number","4"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Angolan","2011","Number","9"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Angolan","2016","Number","6"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Cameroonian","2011","Number","18"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Cameroonian","2016","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Ethiopian","2011","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Ethiopian","2016","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Kenyan","2011","Number","20"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Kenyan","2016","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Libyan","2011","Number","6"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Libyan","2016","Number","4"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Malawian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Malawian","2016","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Moroccan","2011","Number","4"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Moroccan","2016","Number","7"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Batswana","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Batswana","2016","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Indian","2011","Number","79"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Indian","2016","Number","97"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Filipino","2011","Number","21"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Filipino","2016","Number","12"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Chinese","2011","Number","144"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Chinese","2016","Number","161"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Pakistani","2011","Number","114"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Pakistani","2016","Number","211"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Malaysian","2011","Number","18"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Malaysian","2016","Number","14"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Bangladeshi","2011","Number","17"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Bangladeshi","2016","Number","11"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Iraqi","2011","Number","19"
"Population Usually Resident and Present in the State 2011 to 2016","Male","H. Own account workers","Iraqi","2016","Number","5"
