"Statistic Label","Sex","Socio Economic Group","Nationality","CensusYear","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Belarusian","2016","Number","389"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Bosnian and Herzegovinian","2011","Number","417"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Bosnian and Herzegovinian","2016","Number","227"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Norwegian","2011","Number","493"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Norwegian","2016","Number","479"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Serbian","2011","Number","377"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Serbian","2016","Number","343"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Swiss","2011","Number","665"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Swiss","2016","Number","692"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Nigerian","2011","Number","17642"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Nigerian","2016","Number","6084"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","South African","2011","Number","4872"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","South African","2016","Number","3208"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Mauritian","2011","Number","2844"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Mauritian","2016","Number","1929"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Algerian","2011","Number","1047"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Algerian","2016","Number","595"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Congolese","2011","Number","2195"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Congolese","2016","Number","1276"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Egyptian","2011","Number","1055"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Egyptian","2016","Number","957"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Ghanaian","2011","Number","1158"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Ghanaian","2016","Number","495"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Somali","2011","Number","1178"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Somali","2016","Number","808"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Sudanese","2011","Number","1470"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Sudanese","2016","Number","830"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Zimbabwean","2011","Number","1537"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Zimbabwean","2016","Number","974"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Angolan","2011","Number","683"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Angolan","2016","Number","259"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Cameroonian","2011","Number","750"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Cameroonian","2016","Number","412"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Ethiopian","2011","Number","250"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Ethiopian","2016","Number","214"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Kenyan","2011","Number","532"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Kenyan","2016","Number","332"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Libyan","2011","Number","448"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Libyan","2016","Number","472"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Malawian","2011","Number","252"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Malawian","2016","Number","759"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Moroccan","2011","Number","571"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Moroccan","2016","Number","348"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Batswana","2011","Number","220"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Batswana","2016","Number","215"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Indian","2011","Number","16986"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Indian","2016","Number","11465"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Filipino","2011","Number","12791"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Filipino","2016","Number","4214"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Chinese","2011","Number","10896"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Chinese","2016","Number","9575"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Pakistani","2011","Number","6847"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Pakistani","2016","Number","7351"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Malaysian","2011","Number","3295"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Malaysian","2016","Number","2999"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Bangladeshi","2011","Number","2319"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Bangladeshi","2016","Number","1352"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Iraqi","2011","Number","1081"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Iraqi","2016","Number","565"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Saudi","2011","Number","1029"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Saudi","2016","Number","1871"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Thai","2011","Number","1381"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Thai","2016","Number","1089"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Georgian","2011","Number","576"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Georgian","2016","Number","429"
